1,02/13/2023,055 Ruskin Point,1
2,01/20/2023,3161 West Lane,2
3,12/11/2022,7801 Sycamore Court,3
4,08/21/2023,98 Lillian Drive,4
5,01/27/2024,457 Melrose Avenue,5
6,03/09/2023,2165 Montana Lane,6
7,01/14/2023,5 Merchant Park,7
8,03/04/2023,3 Lukken Center,8
9,09/26/2023,970 Village Green Alley,9
10,09/24/2023,25 Onsgard Crossing,10
11,09/04/2023,71275 Barby Way,11
12,08/03/2023,99 Lakewood Plaza,12
13,02/02/2024,707 Burrows Junction,13
14,07/29/2023,583 Becker Terrace,14
15,06/23/2023,588 Mariners Cove Trail,15
16,09/26/2023,907 Blackbird Circle,16
17,07/18/2023,18466 Moland Crossing,17
18,04/27/2023,20435 Coolidge Street,18
19,12/18/2023,9 Toban Pass,19
20,07/27/2023,9 Morningstar Drive,20
21,01/17/2023,61 Novick Center,21
22,11/05/2023,9880 Heffernan Circle,22
23,01/27/2024,32879 David Alley,23
24,11/24/2022,0 Delaware Avenue,24
25,07/27/2023,3990 Cordelia Trail,25
26,06/11/2023,6186 High Crossing Hill,26
27,11/29/2022,3456 Clove Plaza,27
28,10/01/2023,0047 Green Avenue,28
29,04/11/2023,78861 Esch Terrace,29
30,02/10/2023,5 South Trail,30
31,11/23/2023,6720 David Terrace,31
32,06/27/2023,2 Moose Pass,32
33,08/18/2023,6 Fulton Drive,33
34,02/26/2023,5549 Haas Alley,34
35,02/19/2024,0 Burrows Street,35
36,07/13/2023,9 Bluejay Alley,36
37,08/04/2023,81797 Sheridan Avenue,37
38,04/26/2023,8467 Waubesa Point,38
39,03/09/2024,97377 Cherokee Trail,39
40,10/17/2023,2544 Russell Center,40
41,01/26/2023,97 Wayridge Lane,41
42,10/03/2023,70376 Longview Terrace,42
43,05/23/2023,0238 Pankratz Circle,43
44,02/16/2023,23 Jackson Drive,44
45,04/05/2023,00 Dunning Lane,45
46,11/16/2022,15 3rd Road,46
47,02/14/2024,5 Westridge Park,47
48,03/17/2023,57 Meadow Vale Street,48
49,11/08/2023,621 Bultman Street,49
50,03/12/2023,396 Redwing Place,50
51,02/14/2023,7 Boyd Parkway,51
52,09/13/2023,67 Wayridge Hill,52
53,11/10/2022,53 8th Circle,53
54,05/19/2023,235 Moulton Trail,54
55,07/20/2023,7613 Lillian Crossing,55
56,01/28/2023,262 Transport Center,56
57,06/16/2023,57746 Northview Terrace,57
58,06/09/2023,7659 Florence Crossing,58
59,03/18/2023,29 Oak Place,59
60,04/14/2023,8420 Lien Center,60
61,05/21/2023,76532 Badeau Crossing,61
62,01/05/2024,0 Vernon Plaza,62
63,12/25/2022,14601 David Avenue,63
64,12/06/2022,06 Grover Lane,64
65,02/04/2024,55 Spohn Avenue,65
66,07/16/2023,3 Mallory Terrace,66
67,07/09/2023,1633 Anzinger Drive,67
68,06/28/2023,4857 Bellgrove Way,68
69,11/30/2023,2381 Holy Cross Road,69
70,10/08/2023,6124 Westport Avenue,70
71,09/29/2023,41617 Manitowish Park,71
72,03/17/2023,462 1st Parkway,72
73,01/03/2024,53186 Buhler Place,73
74,10/06/2023,24 Lunder Alley,74
75,08/20/2023,96 Pine View Trail,75
76,03/28/2023,1 Manitowish Terrace,76
77,12/23/2022,77 Hovde Terrace,77
78,09/14/2023,3 Grim Drive,78
79,11/25/2023,2 Coolidge Street,79
80,09/04/2023,8128 Larry Park,80
81,06/26/2023,6112 8th Circle,81
82,11/06/2022,466 Ridgeview Junction,82
83,10/31/2023,5485 Dahle Drive,83
84,12/10/2023,43871 Glendale Pass,84
85,07/18/2023,4444 Service Place,85
86,03/16/2024,579 Lakewood Gardens Trail,86
87,11/26/2022,6 Claremont Crossing,87
88,12/13/2023,48 Ridgeway Road,88
89,11/17/2023,36993 Division Trail,89
90,01/07/2023,2 Larry Street,90
91,01/28/2023,4646 Mariners Cove Center,91
92,07/31/2023,300 Fairfield Parkway,92
93,01/27/2023,12984 Sheridan Point,93
94,03/18/2023,2549 Hooker Lane,94
95,02/13/2024,46606 Rowland Plaza,95
96,11/12/2023,56501 Kedzie Drive,96
97,08/07/2023,590 Sundown Trail,97
98,07/02/2023,70 Dexter Pass,98
99,01/12/2023,18655 Washington Circle,99
100,07/26/2023,6 Gerald Way,100
101,03/21/2023,343 Sherman Plaza,101
102,04/16/2023,908 Shasta Street,102
103,10/11/2023,88936 Evergreen Lane,103
104,11/05/2022,486 Scott Crossing,104
105,02/01/2023,7061 Daystar Alley,105
106,11/07/2023,8 Chive Avenue,106
107,07/13/2023,03 Bartillon Crossing,107
108,11/07/2022,876 Clyde Gallagher Way,108
109,07/10/2023,14338 Oriole Drive,109
110,04/11/2023,96283 Westerfield Center,110
111,01/17/2023,64646 Pierstorff Drive,111
112,02/09/2024,778 Maryland Avenue,112
113,11/15/2023,527 Merchant Street,113
114,08/15/2023,3 Summer Ridge Drive,114
115,11/03/2023,588 Victoria Crossing,115
116,03/08/2024,847 Tomscot Place,116
117,08/26/2023,270 Oneill Center,117
118,12/05/2023,2 Moulton Circle,118
119,07/14/2023,5923 Stephen Parkway,119
120,03/04/2023,2 Bay Pass,120
121,04/04/2023,7 Dayton Park,121
122,07/27/2023,13 Emmet Parkway,122
123,03/27/2023,3292 Welch Point,123
124,02/03/2023,21913 Autumn Leaf Place,124
125,02/26/2023,464 Golf View Court,125
126,07/22/2023,66888 Morning Way,126
127,07/27/2023,04 Thierer Avenue,127
128,01/03/2024,87 Hanson Drive,128
129,05/20/2023,78 Leroy Lane,129
130,04/19/2023,534 Monument Park,130
131,10/19/2023,4108 Artisan Parkway,131
132,07/30/2023,48 Fordem Parkway,132
133,01/13/2024,2 Dryden Point,133
134,02/02/2024,57020 Main Road,134
135,06/15/2023,01 Sherman Lane,135
136,12/30/2023,99 Ridgeway Plaza,136
137,06/25/2023,90505 Pond Drive,137
138,09/03/2023,45 Menomonie Pass,138
139,11/25/2022,29 Messerschmidt Terrace,139
140,02/09/2024,88 Bartillon Way,140
141,05/07/2023,591 Brown Circle,141
142,04/06/2023,7 Transport Trail,142
143,12/19/2022,57633 Sunfield Park,143
144,11/06/2023,840 Vermont Park,144
145,02/26/2024,2598 Kedzie Park,145
146,12/19/2022,8 Granby Road,146
147,03/18/2023,860 Annamark Alley,147
148,02/07/2023,06 Dunning Crossing,148
149,02/14/2023,827 Calypso Pass,149
150,12/01/2023,8082 Artisan Drive,150
151,12/26/2023,0466 Warbler Pass,151
152,01/06/2024,01098 Main Drive,152
153,12/13/2022,0692 Scott Park,153
154,08/15/2023,3296 Anniversary Road,154
155,07/22/2023,8474 Trailsway Terrace,155
156,02/21/2024,903 Beilfuss Hill,156
157,12/20/2022,00 Gateway Pass,157
158,09/24/2023,912 Granby Alley,158
159,12/13/2022,407 Pearson Center,159
160,07/12/2023,0 Luster Alley,160
161,11/20/2023,25 Carpenter Hill,161
162,01/17/2023,18 Shasta Place,162
163,04/04/2023,32666 Gerald Drive,163
164,04/19/2023,5459 East Drive,164
165,11/09/2022,48 Lotheville Drive,165
166,03/06/2023,745 4th Center,166
167,02/21/2024,04988 Doe Crossing Point,167
168,06/22/2023,12109 Arizona Plaza,168
169,08/19/2023,20603 Kings Plaza,169
170,06/13/2023,763 Sugar Plaza,170
171,11/01/2023,53 Aberg Terrace,171
172,02/20/2024,680 Bluestem Hill,172
173,02/24/2024,44 Mallard Avenue,173
174,12/27/2023,41 Emmet Hill,174
175,12/25/2022,68 Elmside Drive,175
176,10/26/2023,7326 Eagle Crest Court,176
177,12/25/2022,686 Lillian Place,177
178,01/27/2024,7137 Tomscot Crossing,178
179,08/15/2023,42 Gateway Street,179
180,11/28/2023,70 Moose Center,180
181,11/12/2023,0 Reindahl Terrace,181
182,06/17/2023,682 Morrow Alley,182
183,07/24/2023,02 Sloan Pass,183
184,10/13/2023,0886 Oak Valley Parkway,184
185,10/30/2023,2 Continental Pass,185
186,10/31/2023,801 Barnett Place,186
187,01/09/2023,5 Petterle Junction,187
188,02/01/2024,36 Mayfield Point,188
189,06/09/2023,88117 Comanche Point,189
190,09/03/2023,9 Packers Junction,190
191,06/25/2023,50 Killdeer Road,191
192,12/30/2022,712 Autumn Leaf Way,192
193,07/15/2023,8 Mesta Alley,193
194,11/11/2023,5977 Bunting Center,194
195,02/19/2024,24 Boyd Center,195
196,10/05/2023,84943 Havey Lane,196
197,02/08/2023,1334 Valley Edge Avenue,197
198,02/12/2023,95 Fremont Pass,198
199,03/03/2023,89713 6th Place,199
200,02/19/2023,92 Menomonie Road,200
201,11/08/2023,4 Bluestem Circle,201
202,05/19/2023,1 Northwestern Trail,202
203,08/16/2023,85626 Sommers Avenue,203
204,02/07/2023,37238 Johnson Hill,204
205,01/01/2023,522 Pepper Wood Crossing,205
206,11/13/2023,1064 Montana Pass,206
207,11/28/2023,52 Huxley Pass,207
208,02/14/2024,189 Luster Lane,208
209,09/05/2023,1199 Elgar Street,209
210,01/11/2024,4143 Scofield Avenue,210
211,02/09/2023,8269 Dahle Terrace,211
212,12/26/2023,281 Oneill Alley,212
213,12/30/2022,354 Acker Place,213
214,12/31/2023,67424 Harper Plaza,214
215,02/05/2023,8 Elka Plaza,215
216,05/23/2023,0 Blaine Center,216
217,02/23/2023,445 Killdeer Junction,217
218,11/22/2023,1 Texas Way,218
219,12/07/2023,2551 Pawling Terrace,219
220,05/02/2023,53 Schlimgen Trail,220
221,01/25/2023,7 Pennsylvania Lane,221
222,01/14/2023,1791 Hoard Junction,222
223,12/19/2023,337 Bonner Center,223
224,11/05/2022,79 6th Crossing,224
225,11/30/2022,6238 Main Park,225
226,10/26/2023,207 Anhalt Alley,226
227,12/20/2022,45113 Mariners Cove Place,227
228,12/21/2022,25263 Menomonie Point,228
229,12/15/2022,50312 Dovetail Plaza,229
230,02/08/2024,77955 Eagan Terrace,230
231,11/05/2023,6927 Kedzie Plaza,231
232,03/18/2023,19645 Buena Vista Drive,232
233,03/23/2023,248 Eagan Pass,233
234,06/14/2023,661 Monterey Plaza,234
235,12/25/2022,9831 Esch Way,235
236,12/12/2022,3 Portage Junction,236
237,02/02/2024,01 Manufacturers Street,237
238,08/22/2023,64 Anzinger Terrace,238
239,12/19/2023,1 Gale Terrace,239
240,01/10/2023,81 Del Mar Plaza,240
241,11/25/2023,51960 Maryland Point,241
242,12/16/2022,9942 Miller Point,242
243,11/03/2023,38337 Ramsey Parkway,243
244,11/06/2022,78157 Schiller Park,244
245,01/08/2023,91 Rutledge Alley,245
246,04/13/2023,17 Reinke Circle,246
247,02/08/2023,77 Lerdahl Crossing,247
248,02/09/2024,32 Oakridge Street,248
249,12/03/2022,943 Clarendon Terrace,249
250,12/12/2023,2164 Maryland Hill,250
251,07/14/2023,71 Fallview Crossing,251
252,03/12/2023,5228 Badeau Park,252
253,12/16/2023,50611 Artisan Crossing,253
254,06/05/2023,7509 Jana Alley,254
255,02/12/2024,2479 Sunbrook Road,255
256,02/17/2024,4863 Nancy Point,256
257,02/06/2023,8 Aberg Alley,257
258,01/21/2023,10842 Pawling Circle,258
259,07/12/2023,73647 Loeprich Hill,259
260,11/09/2022,0740 Helena Crossing,260
261,05/30/2023,27 Ludington Parkway,261
262,02/18/2023,94835 Declaration Circle,262
263,09/19/2023,369 Mandrake Avenue,263
264,12/13/2023,4134 Dixon Road,264
265,06/30/2023,028 Iowa Alley,265
266,12/10/2022,2 Schlimgen Lane,266
267,08/20/2023,162 Bartillon Pass,267
268,10/09/2023,1 Spaight Pass,268
269,03/19/2023,06 Commercial Crossing,269
270,08/21/2023,0620 Village Alley,270
271,10/19/2023,21710 Sutteridge Road,271
272,03/02/2024,53679 Pine View Street,272
273,12/20/2023,74098 Corben Place,273
274,12/02/2023,55785 Becker Drive,274
275,04/26/2023,7 Hansons Crossing,275
276,02/01/2023,5 Kenwood Alley,276
277,08/24/2023,3 Boyd Court,277
278,03/08/2024,97 Anderson Park,278
279,11/25/2023,9765 Walton Avenue,279
280,02/03/2023,2764 Loomis Lane,280
281,08/17/2023,95174 Vera Pass,281
282,02/20/2023,4 Northland Lane,282
283,01/26/2023,11526 Butternut Place,283
284,07/31/2023,47 Ridge Oak Street,284
285,12/11/2023,733 Roxbury Lane,285
286,08/14/2023,07881 Spaight Circle,286
287,04/09/2023,86915 Novick Drive,287
288,03/07/2023,750 Eliot Junction,288
289,12/16/2023,43653 Shelley Place,289
290,04/24/2023,691 Cottonwood Point,290
291,02/27/2024,71 Surrey Hill,291
292,05/05/2023,6 Trailsway Trail,292
293,07/24/2023,40100 Grover Trail,293
294,01/29/2023,50269 Gulseth Court,294
295,04/08/2023,5236 Manley Terrace,295
296,07/30/2023,21 Ohio Point,296
297,11/08/2022,4593 Grim Pass,297
298,08/12/2023,623 Vidon Circle,298
299,04/29/2023,9623 Chive Plaza,299
300,07/30/2023,13297 Veith Plaza,300
301,02/22/2024,991 Emmet Park,301
302,08/22/2023,653 Village Green Hill,302
303,01/13/2023,3 Bellgrove Court,303
304,09/18/2023,4 Bluejay Pass,304
305,10/20/2023,7416 Huxley Pass,305
306,07/11/2023,3616 Grover Pass,306
307,03/03/2024,44 2nd Hill,307
308,01/30/2023,7318 Packers Road,308
309,01/18/2024,5417 West Street,309
310,12/14/2023,3 Montana Avenue,310
311,01/31/2023,7 Clyde Gallagher Alley,311
312,11/10/2022,4114 Tennessee Junction,312
313,04/27/2023,002 Pepper Wood Center,313
314,12/08/2022,5 Orin Center,314
315,01/20/2024,7 Sutherland Alley,315
316,04/21/2023,2 Scoville Pass,316
317,04/23/2023,7 Hoard Hill,317
318,05/15/2023,2527 Haas Way,318
319,12/28/2022,0 Del Sol Point,319
320,01/06/2023,2502 Arkansas Plaza,320
321,08/15/2023,4 Fulton Alley,321
322,10/13/2023,74 Birchwood Hill,322
323,08/14/2023,88 8th Point,323
324,11/30/2022,291 Maryland Plaza,324
325,01/15/2023,6 Walton Terrace,325
326,07/21/2023,59 Becker Place,326
327,04/29/2023,8635 Hansons Way,327
328,05/26/2023,014 Stoughton Road,328
329,09/28/2023,76025 Nobel Trail,329
330,12/08/2023,79 Hanover Place,330
331,11/03/2022,27 Leroy Avenue,331
332,11/02/2023,25 Hoffman Street,332
333,01/17/2024,8 Daystar Avenue,333
334,12/29/2023,38 Marquette Avenue,334
335,12/16/2023,71240 Roth Circle,335
336,01/12/2024,2 Eagan Center,336
337,06/21/2023,1 Lukken Crossing,337
338,09/07/2023,893 Forest Avenue,338
339,06/29/2023,4874 Rieder Drive,339
340,03/17/2024,16 Canary Place,340
341,06/04/2023,632 Bluejay Court,341
342,12/14/2022,7654 Bluejay Terrace,342
343,01/22/2024,095 Sommers Way,343
344,09/08/2023,91 Harbort Plaza,344
345,03/11/2024,171 Londonderry Center,345
346,02/17/2024,0 Brentwood Road,346
347,10/27/2023,702 Arkansas Place,347
348,08/11/2023,528 Orin Drive,348
349,02/04/2024,68887 Morning Terrace,349
350,01/28/2023,57192 Warrior Terrace,350
351,03/04/2023,77 Warbler Park,351
352,10/27/2023,1 Bowman Junction,352
353,11/03/2022,26784 Farragut Center,353
354,09/28/2023,461 Kings Point,354
355,09/23/2023,44 Homewood Avenue,355
356,11/09/2022,2 Alpine Trail,356
357,09/02/2023,4135 Knutson Lane,357
